"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"329360791021158400","329356642510585856","75356636","","","2013-04-30 22:25:06 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@holek_ in MySQL you need to do ""WHERE IS_NULL(col)"""
"329306244408025089","329306097485766656","51469462","","","2013-04-30 18:48:21 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@schultyy sorry ist bereits weg"
"329305065783431168","","12515352","","","2013-04-30 18:43:40 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@skddc hol mich aka timoschilling mal in die Github railscamp org"
"329298174831374336","329297751152140289","17564058","","","2013-04-30 18:16:17 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@thegcat @railscamp_de @jkwebs @russbuelt @skddc have one place for all stuff? Github?"
"329296826274553857","329235780562206722","75356636","","","2013-04-30 18:10:56 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@holek_ the same in MySQL"
"329296654933057536","329295580687917056","12515352","","","2013-04-30 18:10:15 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@skddc @jkwebs how many people, how many room's, witch room sizes, witch date range, how long?"
"329295116940480513","329289469989646336","21230460","","","2013-04-30 18:04:08 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@jkwebs I can send a request. Have we specs for the location?"
"329250515361869827","329250144853835779","15227828","","","2013-04-30 15:06:54 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@railscamp_de @thegcat @jkwebs @russbuelt sorry I don't have time, please give me a summery!"
"329226678989635584","329226616234459136","11789152","","","2013-04-30 13:32:11 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@gkarekinian ja das ist noch da"
"329220472770269185","329219336764002305","10683982","","","2013-04-30 13:07:31 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@bascht beim Thema Aufhübschen biste bei mir an der falschen Adresse"
"329218903538540545","329218778229514240","10683982","","","2013-04-30 13:01:17 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@bascht ok, dann kann ich ja auch noch ein paar mehr schreiben ;)"
